date, time, device, rate_1, rate_2, rate_3, rate_4
15/02/2024, 11:00, 1/10, 2/10, 98%, 10/10, 5/10
15/02/2024, 11:15, 2/10, 4/10, 95%, 8/10, 5/10
15/02/2024, 11:30, 3/10, 5/10, 92%, 9/10, 5/10
15/02/2024, 11:45, 1/10, 3/10, 97%, 7/10, 5/10
15/02/2024, 12:00, 4/10, 6/10, 89%, 6/10, 5/10
15/02/2024, 12:15, 2/10, 3/10, 90%, 8/10, 5/10
15/02/2024, 12:30, 3/10, 7/10, 88%, 5/10, 5/10
15/02/2024, 12:45, 1/10, 2/10, 91%, 9/10, 5/10
15/02/2024, 13:00, 4/10, 6/10, 93%, 7/10, 5/10
15/02/2024, 13:15, 2/10, 5/10, 94%, 6/10, 5/10
